product_id,sku,product_name,category,price,is_active,tags,specs
101,MOUSE-001,ワイヤレスマウス,PC周辺機器,2800,true,"{""wireless"",""gadget"",""beginner""}","{""color"":""black"",""connection"":""bluetooth"",""warranty_months"":12,""weight_g"":85}"
102,KEYBOARD-001,メカニカルキーボード,PC周辺機器,12800,true,"{""keyboard"",""mechanical"",""gadget""}","{""switch"":""brown"",""layout"":""JIS"",""backlight"":true,""warranty_months"":24}"
103,CABLE-001,USB-Cケーブル,アクセサリ,1200,true,"{""usb-c"",""mobile"",""gadget""}","{""length_m"":1.5,""power_delivery"":true,""warranty_months"":6}"
104,MONITOR-001,27インチモニター,PC周辺機器,32800,true,"{""monitor"",""display"",""work""}","{""size_inch"":27,""resolution"":""2560x1440"",""refresh_rate"":144,""warranty_months"":36}"
105,CHAIR-001,オフィスチェア,家具,19800,true,"{""chair"",""office"",""work""}","{""material"":""mesh"",""has_headrest"":true,""max_weight_kg"":120,""warranty_months"":12}"
106,COFFEE-001,コーヒー豆,食品,1500,true,"{""coffee"",""food""}","{""origin"":""Brazil"",""roast"":""medium"",""weight_g"":200}"
107,WEBCAM-OLD,旧型Webカメラ,PC周辺機器,4500,false,"{""webcam"",""old"",""gadget""}","{""resolution"":""720p"",""warranty_months"":0,""reason_inactive"":""discontinued""}"
108,CABLE-108,USBケーブルタイプA,アクセサリ,2100,true,"{""usb-c"",""mobile"",""gadget"",""cooking""}","{""color"":""gray"",""warranty_months"":0,""weight_g"":1946}"
109,DESK-109,デスクタイプC,家具,32900,true,"{""desk_setup"",""work"",""gadget""}","{""color"":""white"",""warranty_months"":12,""weight_g"":4881}"
110,CASE-110,スマホケースタイプPro,アクセサリ,1300,true,"{""mobile"",""fashion"",""keyboard""}","{""color"":""gray"",""warranty_months"":6,""weight_g"":634}"
111,KEYBOARD-111,キーボードタイプB,PC周辺機器,13100,true,"{""keyboard"",""gadget"",""monitor""}","{""color"":""navy"",""warranty_months"":0,""weight_g"":3889}"
112,DESK-112,デスクタイプPro,家具,39100,true,"{""desk_setup"",""work"",""game""}","{""color"":""navy"",""warranty_months"":24,""weight_g"":708}"
113,KNIFE-113,包丁セットタイプA,キッチン用品,9000,true,"{""kitchen"",""chair""}","{""color"":""black"",""warranty_months"":0,""weight_g"":1925}"
114,YOGA_MAT-114,ヨガマットタイプLite,スポーツ用品,2100,true,"{""sports"",""chair""}","{""color"":""black"",""warranty_months"":6,""weight_g"":3904}"
115,TOWEL-115,タオルセットタイプPro,日用品,2300,true,"{""home"",""music""}","{""color"":""navy"",""warranty_months"":0,""weight_g"":3900}"
116,COFFEE-116,コーヒー豆タイプPro,食品,1800,true,"{""coffee"",""food"",""desk_setup""}","{""color"":""white"",""warranty_months"":12,""weight_g"":3422}"
117,FAN-117,扇風機タイプC,家電,9100,true,"{""gadget"",""game""}","{""color"":""black"",""warranty_months"":24,""weight_g"":771}"
118,SHELF-118,本棚タイプC,家具,12100,true,"{""storage"",""work"",""book""}","{""color"":""black"",""warranty_months"":36,""weight_g"":3834}"
119,SNACK-119,お菓子詰め合わせタイプA,食品,1800,true,"{""food"",""cooking""}","{""color"":""navy"",""warranty_months"":0,""weight_g"":1717}"
120,CHAIR-120,オフィスチェアタイプLite,家具,15300,true,"{""chair"",""office"",""work"",""camera""}","{""color"":""navy"",""warranty_months"":0,""weight_g"":286}"
121,KNIFE-121,包丁セットタイプB,キッチン用品,5500,true,"{""kitchen"",""travel""}","{""color"":""navy"",""warranty_months"":0,""weight_g"":1890}"
122,WEBCAM-122,WebカメラタイプPro,PC周辺機器,2700,true,"{""webcam"",""gadget"",""keyboard""}","{""color"":""navy"",""warranty_months"":12,""weight_g"":4218}"
123,CHAIR-123,オフィスチェアタイプPro,家具,33300,true,"{""chair"",""office"",""work"",""cooking""}","{""color"":""white"",""warranty_months"":24,""weight_g"":4565}"
124,SPEAKER-124,PCスピーカータイプPro,PC周辺機器,4900,true,"{""audio"",""gadget"",""pet""}","{""color"":""white"",""warranty_months"":0,""weight_g"":2313}"
125,SNACK-125,お菓子詰め合わせタイプC,食品,2800,true,"{""food"",""travel""}","{""color"":""gray"",""warranty_months"":12,""weight_g"":4858}"
126,YOGA_MAT-126,ヨガマットタイプPro,スポーツ用品,2900,true,"{""sports"",""cooking""}","{""color"":""gray"",""warranty_months"":12,""weight_g"":4571}"
127,NOTEBOOK-127,ノートセットタイプPro,文房具,1200,true,"{""office"",""drive""}","{""color"":""white"",""warranty_months"":36,""weight_g"":3187}"
128,CHARGER-128,充電器タイプPro,アクセサリ,2000,true,"{""mobile"",""gadget"",""cooking""}","{""color"":""navy"",""warranty_months"":24,""weight_g"":1296}"
129,FAN-129,扇風機タイプA,家電,5600,true,"{""gadget"",""fashion""}","{""color"":""black"",""warranty_months"":24,""weight_g"":866}"
130,TOWEL-130,タオルセットタイプPro,日用品,1500,true,"{""home"",""music""}","{""color"":""white"",""warranty_months"":0,""weight_g"":3896}"
131,CHAIR-131,オフィスチェアタイプC,家具,27900,true,"{""chair"",""office"",""work"",""gadget""}","{""color"":""gray"",""warranty_months"":36,""weight_g"":3163}"
132,SHELF-132,本棚タイプPro,家具,19100,true,"{""storage"",""work"",""gadget""}","{""color"":""white"",""warranty_months"":12,""weight_g"":1913}"
133,MONITOR-133,モニタータイプPro,PC周辺機器,20000,true,"{""monitor"",""display"",""work"",""desk_setup""}","{""color"":""navy"",""warranty_months"":6,""weight_g"":2503}"
134,MOUSE-134,マウスタイプA,PC周辺機器,2500,true,"{""wireless"",""gadget"",""monitor""}","{""color"":""gray"",""warranty_months"":12,""weight_g"":3578}"
135,SPEAKER-135,PCスピーカータイプB,PC周辺機器,7700,true,"{""audio"",""gadget"",""food""}","{""color"":""white"",""warranty_months"":6,""weight_g"":696}"
136,KNIFE-136,包丁セットタイプPro,キッチン用品,11400,true,"{""kitchen"",""cooking""}","{""color"":""white"",""warranty_months"":6,""weight_g"":3827}"
137,CHAIR-137,オフィスチェアタイプPro,家具,18500,true,"{""chair"",""office"",""work"",""camera""}","{""color"":""gray"",""warranty_months"":36,""weight_g"":1344}"
138,MONITOR-138,モニタータイプPro,PC周辺機器,32600,true,"{""monitor"",""display"",""work""}","{""color"":""navy"",""warranty_months"":12,""weight_g"":3792}"
139,DESK-139,デスクタイプB,家具,24800,true,"{""desk_setup"",""work""}","{""color"":""white"",""warranty_months"":24,""weight_g"":4735}"
140,COFFEE-140,コーヒー豆タイプLite,食品,1700,true,"{""coffee"",""food"",""monitor""}","{""color"":""black"",""warranty_months"":24,""weight_g"":2298}"
141,MOUSE-141,マウスタイプLite,PC周辺機器,4200,true,"{""wireless"",""gadget"",""coffee""}","{""color"":""navy"",""warranty_months"":12,""weight_g"":1935}"
142,KNIFE-142,包丁セットタイプC,キッチン用品,6300,true,"{""kitchen"",""chair""}","{""color"":""white"",""warranty_months"":0,""weight_g"":372}"
143,DESK-143,デスクタイプPro,家具,15800,true,"{""desk_setup"",""work"",""keyboard""}","{""color"":""black"",""warranty_months"":12,""weight_g"":2726}"
144,SNACK-144,お菓子詰め合わせタイプB,食品,1800,true,"{""food"",""game""}","{""color"":""gray"",""warranty_months"":36,""weight_g"":4160}"
145,CHAIR-145,オフィスチェアタイプB,家具,18500,true,"{""chair"",""office"",""work"",""cooking""}","{""color"":""gray"",""warranty_months"":12,""weight_g"":993}"
146,KETTLE-146,電気ケトルタイプA,家電,3900,true,"{""kitchen"",""gadget"",""office""}","{""color"":""navy"",""warranty_months"":36,""weight_g"":3046}"
147,MONITOR-147,モニタータイプPro,PC周辺機器,15700,true,"{""monitor"",""display"",""work"",""desk_setup""}","{""color"":""navy"",""warranty_months"":12,""weight_g"":2197}"
148,YOGA_MAT-148,ヨガマットタイプPro,スポーツ用品,4300,true,"{""sports"",""office""}","{""color"":""navy"",""warranty_months"":0,""weight_g"":4649}"
149,SHELF-149,本棚タイプLite,家具,10800,true,"{""storage"",""work"",""camera""}","{""color"":""gray"",""warranty_months"":24,""weight_g"":1005}"
150,SPEAKER-150,PCスピーカータイプA,PC周辺機器,2900,true,"{""audio"",""gadget"",""cooking""}","{""color"":""black"",""warranty_months"":0,""weight_g"":1973}"
151,NOTEBOOK-151,ノートセットタイプB,文房具,1100,true,"{""office"",""game""}","{""color"":""navy"",""warranty_months"":36,""weight_g"":1315}"
152,SNACK-152,お菓子詰め合わせタイプA,食品,2700,true,"{""food"",""chair""}","{""color"":""black"",""warranty_months"":12,""weight_g"":1829}"
153,KETTLE-153,電気ケトルタイプPro,家電,4500,true,"{""kitchen"",""gadget"",""desk_setup""}","{""color"":""gray"",""warranty_months"":36,""weight_g"":2988}"
154,KEYBOARD-154,キーボードタイプPro,PC周辺機器,6500,true,"{""keyboard"",""gadget"",""desk_setup""}","{""color"":""navy"",""warranty_months"":0,""weight_g"":1787}"
155,KNIFE-155,包丁セットタイプA,キッチン用品,4100,true,"{""kitchen"",""office""}","{""color"":""white"",""warranty_months"":36,""weight_g"":1731}"
156,MONITOR-156,モニタータイプLite,PC周辺機器,25600,true,"{""monitor"",""display"",""work"",""office""}","{""color"":""gray"",""warranty_months"":6,""weight_g"":4932}"
157,MOUSE-157,マウスタイプC,PC周辺機器,4200,true,"{""wireless"",""gadget"",""keyboard""}","{""color"":""gray"",""warranty_months"":6,""weight_g"":950}"
158,MOUSE-158,マウスタイプB,PC周辺機器,1500,true,"{""wireless"",""gadget"",""office""}","{""color"":""gray"",""warranty_months"":0,""weight_g"":1477}"
159,CHAIR-159,オフィスチェアタイプA,家具,15200,true,"{""chair"",""office"",""work"",""pet""}","{""color"":""black"",""warranty_months"":0,""weight_g"":3951}"
160,KETTLE-160,電気ケトルタイプC,家電,6200,true,"{""kitchen"",""gadget"",""camera""}","{""color"":""white"",""warranty_months"":36,""weight_g"":405}"
